id_factura,id_producto,cantidad,precio_unitario
150,153,8,197.04
206,16,9,189.49
440,6,2,324.78
72,172,8,252.21
308,120,6,346.96
243,152,8,199.29
137,14,2,189.89
358,62,10,81.23
246,68,4,384.66
43,105,8,382.23
118,33,8,385.45
18,96,3,393.9
431,191,3,216.63
27,181,1,262.69
465,11,6,152.94
495,69,6,348.38
196,190,7,31.8
233,16,8,189.49
402,78,9,168.02
125,111,9,186.39
318,45,3,252.28
266,38,2,151.66
106,36,2,478.21
109,43,2,233.73
302,11,8,152.94
272,55,6,463.42
437,179,6,28.44
96,197,2,145.21
179,157,5,65.04
171,179,5,28.44
387,132,4,365.29
338,170,4,350.15
177,152,8,199.29
434,21,7,425.47
253,179,5,28.44
54,86,4,80.5
108,34,2,16.85
123,31,4,80.17
447,134,1,81.37
340,53,4,131.29
98,146,7,453.72
442,1,2,226.5
78,187,6,226.76
393,53,8,131.29
469,112,2,304.99
377,13,6,171.79
318,28,7,263.12
399,200,2,344.29
108,6,2,324.78
207,33,9,385.45
188,184,7,251.53
305,121,7,162.27
195,113,6,386.97
36,140,7,177.84
3,2,5,323.35
125,95,2,437.97
134,61,6,301.99
417,176,9,223.83
292,30,7,23.45
391,2,1,323.35
419,148,7,83.0
278,20,3,414.78
120,37,3,16.79
6,183,5,458.7
273,30,5,23.45
22,166,4,308.83
321,111,3,186.39
197,98,7,428.02
27,158,8,95.58
478,172,2,252.21
373,99,1,134.55
192,10,5,48.89
104,157,5,65.04
406,199,6,389.01
165,20,2,414.78
162,121,1,162.27
109,105,10,382.23
112,19,5,19.03
303,76,1,379.02
60,82,10,171.63
103,67,6,428.87
20,187,7,226.76
437,39,7,70.4
102,2,3,323.35
377,159,4,88.25
62,124,4,242.92
450,120,9,346.96
82,186,3,297.18
360,4,7,103.54
393,179,7,28.44
67,14,5,189.89
9,179,7,28.44
72,95,8,437.97
146,91,6,206.95
178,156,1,375.7
219,194,10,21.71
3,109,10,347.96
306,41,6,265.55
47,95,6,437.97
191,135,7,410.13
65,133,1,101.02
127,192,6,198.44
268,65,5,466.39
42,153,7,197.04
331,18,5,218.61
383,128,2,490.91
189,165,4,346.73
160,123,8,40.58
499,52,10,434.1
119,72,2,121.46
160,68,2,384.66
220,199,8,389.01
158,111,10,186.39
118,53,3,131.29
335,113,3,386.97
9,19,3,19.03
107,43,6,233.73
465,127,9,320.69
257,71,9,67.09
496,165,2,346.73
224,23,1,493.23
200,29,5,262.11
51,183,4,458.7
168,36,2,478.21
91,23,9,493.23
209,84,10,450.85
466,177,1,205.45
340,155,5,378.07
500,73,7,345.96
393,156,1,375.7
23,132,8,365.29
64,67,7,428.87
364,88,7,297.58
64,68,6,384.66
46,28,5,263.12
41,103,10,374.6
64,15,3,244.67
138,101,4,65.27
486,196,9,213.21
224,40,10,214.5
59,177,2,205.45
185,155,10,378.07
129,90,3,468.45
66,46,10,496.13
407,20,3,414.78
266,119,8,44.79
8,42,4,179.95
71,145,2,443.0
202,161,1,189.27
344,177,7,205.45
113,139,9,80.55
217,30,7,23.45
26,88,4,297.58
135,80,9,477.47
265,126,2,264.69
17,198,6,106.66
132,85,10,95.28
216,79,2,108.65
353,41,5,265.55
54,165,4,346.73
338,190,10,31.8
299,33,7,385.45
270,116,8,134.06
378,41,1,265.55
251,30,4,23.45
125,48,2,5.78
478,159,9,88.25
25,128,1,490.91
372,147,4,281.76
475,151,6,341.9
72,116,10,134.06
87,12,9,48.33
464,173,4,365.23
383,169,8,285.62
54,141,5,453.83
86,50,10,393.01
79,22,1,359.18
20,132,4,365.29
48,76,5,379.02
144,168,8,301.18
114,45,6,252.28
62,54,4,369.62
471,172,10,252.21
18,49,5,314.87
186,37,6,16.79
268,11,4,152.94
326,15,8,244.67
183,71,7,67.09
500,100,6,435.09
53,187,1,226.76
