id,id_cliente,fecha,subtotal,iva,descuento,estado
1,293,2026-02-06,1925.73,404.4,78.79,Pendiente
2,263,2025-08-11,260.31,54.67,57.45,Cancelada
3,127,2025-07-26,360.84,75.78,93.32,Pagada
4,119,2025-11-27,1314.01,275.94,9.57,Pendiente
5,73,2025-04-13,1550.59,325.62,81.82,Pendiente
6,245,2025-08-19,557.73,117.12,43.61,Cancelada
7,44,2025-07-29,1925.86,404.43,49.81,Cancelada
8,281,2025-03-04,1807.74,379.63,28.79,Pendiente
9,6,2025-03-12,106.73,22.41,9.92,Cancelada
10,65,2026-01-23,1940.61,407.53,40.54,Cancelada
11,272,2025-07-01,739.23,155.24,40.29,Pagada
12,172,2026-01-16,772.54,162.23,31.74,Pagada
13,248,2025-09-16,635.43,133.44,5.94,Pendiente
14,53,2025-06-13,801.93,168.41,84.52,Cancelada
15,210,2025-12-20,1339.23,281.24,39.24,Pagada
16,265,2025-08-24,144.22,30.29,16.17,Cancelada
17,209,2025-04-22,998.72,209.73,6.35,Pendiente
18,246,2025-04-02,831.64,174.64,44.69,Pendiente
19,171,2025-05-18,814.38,171.02,10.92,Pendiente
20,98,2025-05-31,106.53,22.37,65.34,Pagada
21,286,2025-10-26,1236.73,259.71,37.92,Pendiente
22,156,2026-01-09,237.99,49.98,81.46,Cancelada
23,74,2025-04-10,898.48,188.68,57.4,Cancelada
24,225,2025-04-13,1233.99,259.14,46.77,Pendiente
25,215,2025-07-19,531.35,111.58,33.05,Pagada
26,218,2025-04-29,123.31,25.9,74.56,Cancelada
27,132,2025-12-18,1648.52,346.19,20.36,Cancelada
28,13,2025-06-30,1020.66,214.34,7.61,Pendiente
29,16,2025-02-19,1174.72,246.69,88.93,Cancelada
30,281,2026-02-10,1983.27,416.49,49.74,Pagada
31,243,2025-08-26,174.95,36.74,19.7,Pendiente
32,61,2025-05-17,379.87,79.77,2.31,Pagada
33,181,2025-08-21,1572.2,330.16,49.32,Pagada
34,252,2025-08-04,102.88,21.6,71.83,Cancelada
35,267,2025-06-01,367.96,77.27,68.03,Cancelada
36,168,2025-09-28,1853.14,389.16,13.89,Pagada
37,212,2025-02-28,1430.73,300.45,90.6,Pagada
38,35,2025-07-31,344.4,72.32,34.62,Pendiente
39,200,2025-09-30,1334.74,280.3,86.32,Cancelada
40,60,2025-09-03,1773.31,372.4,92.74,Pendiente
41,188,2025-05-14,1920.54,403.31,57.26,Pagada
42,230,2025-11-06,1356.74,284.92,5.23,Pagada
43,99,2025-09-23,942.47,197.92,85.85,Pendiente
44,117,2025-12-21,254.37,53.42,76.15,Pendiente
45,2,2025-07-29,1845.62,387.58,69.13,Pendiente
46,265,2026-01-22,1172.22,246.17,74.48,Cancelada
47,121,2026-02-07,1887.23,396.32,6.19,Pendiente
48,55,2025-05-28,1221.81,256.58,51.3,Pagada
49,122,2025-08-18,1584.49,332.74,9.39,Pendiente
50,168,2025-09-12,1598.28,335.64,51.98,Pagada
51,93,2026-01-06,165.79,34.82,71.93,Pagada
52,136,2026-01-10,1106.48,232.36,8.88,Pendiente
53,255,2025-02-20,540.85,113.58,13.94,Pagada
54,255,2025-11-06,812.41,170.61,41.94,Pagada
55,264,2025-10-06,610.27,128.16,5.6,Pagada
56,174,2025-08-24,1563.09,328.25,47.9,Pendiente
57,160,2025-11-20,1707.96,358.67,10.13,Pagada
58,261,2025-03-05,1076.31,226.03,88.18,Pendiente
59,189,2025-10-29,968.88,203.46,44.15,Cancelada
60,31,2025-09-26,167.61,35.2,57.5,Pendiente
61,20,2025-12-09,1245.39,261.53,28.73,Cancelada
62,139,2025-11-06,1097.77,230.53,48.1,Pendiente
63,266,2025-06-10,1982.29,416.28,61.5,Pendiente
64,180,2025-09-17,382.88,80.4,24.41,Pagada
65,117,2025-06-25,215.6,45.28,52.53,Pagada
66,9,2025-06-03,82.98,17.43,25.89,Cancelada
67,271,2025-05-07,566.25,118.91,68.79,Pendiente
68,70,2025-10-05,246.26,51.71,49.65,Pagada
69,241,2026-02-02,1942.0,407.82,82.05,Cancelada
70,159,2025-07-16,1707.85,358.65,69.17,Pagada
71,110,2025-09-12,1224.96,257.24,18.2,Cancelada
72,54,2025-04-04,1689.63,354.82,61.19,Cancelada
73,29,2025-03-16,138.07,28.99,88.87,Pagada
74,233,2025-12-29,892.11,187.34,79.13,Cancelada
75,137,2025-09-24,132.96,27.92,86.94,Pendiente
76,79,2025-02-20,99.97,20.99,1.87,Pagada
77,277,2025-08-31,555.6,116.68,0.72,Pagada
78,218,2025-10-15,1351.69,283.85,75.95,Pagada
79,181,2026-01-04,1924.08,404.06,85.81,Pagada
80,291,2025-11-24,1077.72,226.32,34.76,Pendiente
81,5,2025-11-08,480.66,100.94,54.9,Pagada
82,264,2025-11-14,1844.26,387.29,47.93,Cancelada
83,292,2025-11-14,1020.25,214.25,66.76,Pagada
84,2,2026-02-17,815.58,171.27,30.22,Cancelada
85,45,2025-07-07,1230.68,258.44,70.62,Pagada
86,281,2025-08-26,1123.8,236.0,55.11,Pagada
87,161,2025-09-01,1307.19,274.51,1.8,Cancelada
88,69,2025-02-24,357.54,75.08,58.05,Cancelada
89,291,2025-06-21,639.34,134.26,33.76,Cancelada
90,75,2025-07-30,329.26,69.14,42.35,Cancelada
91,200,2025-02-28,1440.86,302.58,10.73,Pagada
92,123,2025-07-06,884.86,185.82,93.25,Cancelada
93,179,2025-10-07,616.32,129.43,57.51,Cancelada
94,57,2025-08-31,732.64,153.85,16.56,Pendiente
95,27,2025-11-27,1963.95,412.43,28.19,Pagada
96,246,2025-03-30,1832.96,384.92,42.53,Pendiente
97,37,2025-11-22,542.27,113.88,35.97,Pendiente
98,20,2025-09-16,1639.24,344.24,27.99,Pendiente
99,228,2025-11-22,1770.18,371.74,4.05,Cancelada
100,27,2025-07-03,535.02,112.35,13.43,Pagada
101,93,2025-06-22,1917.84,402.75,66.81,Cancelada
102,8,2025-10-03,1888.97,396.68,50.04,Pendiente
103,129,2025-09-20,1486.22,312.11,55.25,Pendiente
104,3,2025-03-17,1427.84,299.85,35.21,Cancelada
105,294,2025-06-02,677.38,142.25,27.51,Pagada
106,20,2025-06-05,375.85,78.93,13.03,Pagada
107,176,2025-05-17,947.06,198.88,88.73,Pagada
108,73,2025-09-26,609.95,128.09,71.14,Pendiente
109,131,2025-04-10,865.02,181.65,48.27,Cancelada
110,150,2025-09-23,1576.81,331.13,74.5,Pagada
111,36,2025-10-08,393.84,82.71,79.47,Pagada
112,106,2025-05-01,47.36,9.95,12.0,Pendiente
113,47,2025-08-30,749.45,157.38,59.56,Cancelada
114,61,2025-09-19,70.82,14.87,96.82,Pendiente
115,205,2025-08-01,1531.46,321.61,87.68,Cancelada
116,230,2025-11-16,1279.9,268.78,10.8,Cancelada
117,181,2025-09-04,116.62,24.49,64.67,Pagada
118,280,2025-04-27,958.17,201.22,48.97,Pendiente
119,216,2025-07-23,959.92,201.58,9.53,Cancelada
120,207,2025-03-26,381.95,80.21,21.91,Pagada
121,15,2025-05-15,1420.77,298.36,47.45,Pagada
122,18,2025-07-29,659.45,138.48,87.54,Pagada
123,129,2025-08-20,1460.13,306.63,67.08,Pendiente
124,53,2025-06-11,1290.1,270.92,62.84,Cancelada
125,231,2025-10-12,347.67,73.01,92.93,Pendiente
126,47,2025-11-07,1889.74,396.85,84.84,Pendiente
127,213,2025-12-20,1656.1,347.78,23.78,Cancelada
128,228,2025-07-21,1154.68,242.48,94.24,Pendiente
129,152,2025-08-03,1695.7,356.1,33.13,Pendiente
130,194,2025-12-22,1912.64,401.65,51.22,Cancelada
131,19,2025-12-03,87.91,18.46,92.01,Cancelada
132,267,2025-06-19,55.08,11.57,68.54,Pagada
133,137,2025-09-29,1242.23,260.87,65.29,Pendiente
134,273,2025-03-17,1379.72,289.74,98.85,Pendiente
135,205,2025-10-13,724.33,152.11,90.89,Pagada
136,47,2025-09-10,159.57,33.51,15.39,Pendiente
137,234,2025-11-22,1515.29,318.21,52.31,Pendiente
138,47,2025-03-09,1330.77,279.46,41.83,Pendiente
139,246,2025-05-09,1359.36,285.47,18.72,Cancelada
140,9,2025-05-25,1908.71,400.83,44.02,Pagada
141,52,2025-10-10,896.85,188.34,66.65,Pagada
142,290,2025-04-04,1906.63,400.39,13.82,Pendiente
143,120,2025-05-27,1685.25,353.9,19.33,Pendiente
144,43,2025-10-06,1547.76,325.03,73.61,Cancelada
145,255,2025-09-06,1265.94,265.85,6.73,Pendiente
146,273,2025-05-31,1109.61,233.02,67.71,Pagada
147,272,2026-01-11,98.15,20.61,33.97,Pagada
148,142,2025-12-30,1708.24,358.73,52.86,Pagada
149,154,2025-04-02,1033.01,216.93,65.53,Pendiente
150,290,2025-02-24,792.27,166.38,50.37,Pagada
151,254,2025-08-08,112.8,23.69,84.35,Cancelada
152,180,2025-09-04,1639.0,344.19,95.08,Pendiente
153,99,2025-07-27,1178.12,247.41,17.75,Pendiente
154,70,2025-09-16,90.46,19.0,87.97,Pendiente
155,123,2025-11-18,202.24,42.47,44.22,Pendiente
156,99,2025-12-04,1145.09,240.47,71.82,Cancelada
157,298,2025-03-10,150.73,31.65,16.87,Pendiente
158,123,2025-11-13,868.46,182.38,97.26,Cancelada
159,116,2025-11-14,1072.43,225.21,50.06,Cancelada
160,40,2025-05-25,768.24,161.33,18.99,Cancelada
161,140,2026-02-15,464.08,97.46,46.1,Pendiente
162,44,2025-10-08,351.73,73.86,53.19,Cancelada
163,29,2025-04-13,823.92,173.02,62.25,Pagada
164,161,2025-09-22,315.61,66.28,92.61,Pendiente
165,22,2025-12-21,1680.34,352.87,44.67,Pendiente
166,291,2025-03-12,594.9,124.93,91.49,Pagada
167,269,2025-10-22,1538.96,323.18,67.63,Cancelada
168,259,2026-02-14,1734.54,364.25,21.47,Pagada
169,43,2025-03-08,1618.36,339.86,62.92,Pendiente
170,118,2025-11-01,188.62,39.61,6.39,Cancelada
171,291,2025-05-09,49.49,10.39,96.66,Pendiente
172,2,2025-04-27,278.48,58.48,29.74,Cancelada
173,44,2025-10-06,891.7,187.26,32.92,Pendiente
174,134,2025-04-23,419.37,88.07,80.56,Pendiente
175,191,2025-04-17,631.07,132.52,43.39,Pendiente
176,123,2025-06-04,1133.07,237.94,15.65,Pendiente
177,189,2026-02-10,546.97,114.86,58.38,Pagada
178,242,2025-07-04,587.1,123.29,22.48,Pendiente
179,145,2025-09-16,1184.97,248.84,45.87,Pendiente
180,242,2025-09-23,1870.64,392.83,27.38,Pagada
181,94,2025-12-13,786.97,165.26,66.77,Pagada
182,3,2026-01-05,1224.22,257.09,57.53,Pagada
183,281,2025-10-05,1104.86,232.02,21.17,Pendiente
184,224,2025-03-20,131.34,27.58,94.62,Pendiente
185,102,2025-02-26,1309.58,275.01,38.69,Cancelada
186,179,2026-01-31,990.62,208.03,66.09,Pagada
187,27,2025-11-16,1057.76,222.13,19.42,Pendiente
188,166,2025-11-02,822.56,172.74,72.08,Pagada
189,272,2025-08-19,1689.72,354.84,93.37,Cancelada
190,137,2025-10-13,307.08,64.49,49.69,Pagada
191,109,2026-02-14,88.78,18.64,74.52,Pendiente
192,201,2025-12-10,654.46,137.44,97.12,Cancelada
193,55,2025-08-05,65.23,13.7,25.5,Pendiente
194,157,2025-04-17,1636.56,343.68,22.42,Pagada
195,116,2025-07-03,1890.79,397.07,0.99,Pagada
196,113,2025-06-11,1886.65,396.2,46.42,Cancelada
197,110,2025-06-23,360.09,75.62,19.1,Cancelada
198,297,2025-08-27,634.8,133.31,90.29,Pagada
199,62,2025-08-07,1942.32,407.89,38.25,Pendiente
200,248,2025-12-14,1144.1,240.26,1.86,Pagada
201,84,2025-03-17,1978.17,415.42,89.93,Pendiente
202,55,2025-10-09,894.9,187.93,49.91,Pendiente
203,117,2025-04-24,1561.31,327.88,40.81,Cancelada
204,37,2025-04-11,59.67,12.53,28.18,Pendiente
205,230,2025-12-27,144.89,30.43,53.14,Pagada
206,183,2025-08-12,687.83,144.44,24.6,Pagada
207,270,2025-11-17,1978.06,415.39,31.07,Pendiente
208,200,2026-01-17,464.99,97.65,31.08,Cancelada
209,117,2025-06-20,1384.93,290.84,11.49,Pagada
210,238,2026-02-18,873.71,183.48,82.68,Pagada
211,236,2026-02-03,1228.05,257.89,27.32,Cancelada
212,280,2026-01-10,709.22,148.94,52.72,Pendiente
213,298,2025-02-18,1537.62,322.9,92.22,Cancelada
214,279,2025-11-12,410.39,86.18,14.03,Pagada
215,146,2025-11-07,1975.76,414.91,9.34,Pendiente
216,221,2025-09-26,802.45,168.51,72.31,Pagada
217,191,2026-01-22,986.83,207.23,16.68,Pendiente
218,53,2025-05-23,1893.87,397.71,51.63,Pendiente
219,132,2025-04-24,1346.96,282.86,60.4,Pagada
220,200,2025-05-25,1651.87,346.89,25.79,Pendiente
221,286,2025-08-09,775.37,162.83,13.49,Pendiente
222,217,2025-03-15,1452.04,304.93,70.53,Pagada
223,76,2025-09-14,58.06,12.19,20.98,Pagada
224,259,2025-06-30,1811.2,380.35,90.31,Cancelada
225,145,2025-12-27,136.0,28.56,6.97,Cancelada
226,68,2025-12-31,685.19,143.89,12.08,Pendiente
227,217,2025-05-30,1413.98,296.94,32.08,Pagada
228,204,2026-01-14,389.38,81.77,29.37,Pagada
229,61,2025-09-12,1825.6,383.38,7.37,Cancelada
230,143,2025-10-24,34.34,7.21,95.64,Pagada
231,256,2025-03-09,28.48,5.98,77.16,Pagada
232,234,2025-07-03,359.25,75.44,56.81,Pagada
233,245,2026-02-15,1193.21,250.57,17.47,Pagada
234,66,2025-11-09,1523.41,319.92,41.14,Cancelada
235,119,2025-11-03,891.41,187.2,7.22,Pendiente
236,167,2025-05-22,511.27,107.37,56.53,Cancelada
237,184,2025-07-17,1370.49,287.8,60.61,Cancelada
238,76,2025-04-08,688.1,144.5,30.77,Pagada
239,16,2025-09-19,1806.42,379.35,45.42,Cancelada
240,120,2025-10-27,1918.1,402.8,40.57,Pagada
241,289,2025-04-08,1879.3,394.65,75.7,Pendiente
242,200,2025-03-14,1742.61,365.95,31.33,Pendiente
243,273,2025-11-14,200.85,42.18,95.14,Pendiente
244,95,2025-04-21,1090.86,229.08,22.83,Pendiente
245,34,2025-05-11,111.43,23.4,18.08,Pagada
246,56,2026-01-06,181.33,38.08,80.1,Pagada
247,99,2025-12-27,886.92,186.25,7.55,Pagada
248,1,2025-07-30,907.37,190.55,43.06,Cancelada
249,22,2025-07-02,1749.95,367.49,36.54,Pagada
250,42,2025-07-30,794.18,166.78,42.29,Pendiente
251,21,2025-12-17,141.08,29.63,32.01,Cancelada
252,292,2025-08-06,96.59,20.28,89.3,Pagada
253,219,2025-03-13,1687.47,354.37,99.86,Pagada
254,58,2026-01-13,1305.25,274.1,19.79,Cancelada
255,116,2025-12-19,80.63,16.93,17.71,Pagada
256,154,2025-04-04,563.57,118.35,69.79,Pagada
257,57,2025-11-15,1631.68,342.65,3.48,Pendiente
258,259,2025-08-12,485.25,101.9,32.34,Cancelada
259,68,2025-09-12,1481.72,311.16,12.21,Cancelada
260,138,2025-04-06,728.8,153.05,44.69,Pagada
261,13,2025-12-17,653.66,137.27,39.9,Pendiente
262,229,2025-11-03,1269.47,266.59,50.08,Pendiente
263,100,2025-11-18,1579.42,331.68,69.4,Cancelada
264,52,2025-08-11,127.54,26.78,20.97,Cancelada
265,201,2025-06-12,844.56,177.36,11.64,Cancelada
266,187,2025-05-07,489.81,102.86,17.39,Pendiente
267,135,2025-07-02,65.18,13.69,72.26,Cancelada
268,261,2025-12-12,1219.35,256.06,22.83,Pagada
269,295,2025-08-19,494.69,103.88,18.15,Cancelada
270,279,2025-10-20,1044.64,219.37,57.35,Pendiente
271,276,2026-01-23,1776.86,373.14,49.37,Pendiente
272,14,2025-02-19,1433.45,301.02,14.28,Pagada
273,20,2026-01-31,590.82,124.07,85.92,Cancelada
274,202,2025-04-02,642.62,134.95,1.47,Cancelada
275,96,2025-09-30,1455.5,305.65,35.04,Pagada
276,262,2025-07-19,543.25,114.08,46.5,Cancelada
277,96,2025-03-03,483.64,101.56,83.23,Cancelada
278,217,2025-11-16,628.66,132.02,2.3,Pagada
279,278,2025-02-24,1720.55,361.32,9.79,Pendiente
280,106,2025-12-25,643.31,135.1,86.16,Pagada
281,78,2026-01-22,561.73,117.96,16.29,Pendiente
282,46,2026-01-09,1863.26,391.28,88.05,Pagada
283,2,2025-04-03,873.28,183.39,67.2,Cancelada
284,257,2025-02-28,1248.9,262.27,95.62,Pendiente
285,172,2026-02-04,1272.35,267.19,6.02,Cancelada
286,300,2025-09-21,938.97,197.18,15.14,Pagada
287,37,2025-10-21,1989.61,417.82,31.0,Cancelada
288,223,2025-10-04,71.51,15.02,8.47,Cancelada
289,72,2025-03-24,37.02,7.77,13.22,Cancelada
290,165,2025-06-03,567.9,119.26,13.2,Cancelada
291,256,2025-12-24,1988.4,417.56,94.28,Pendiente
292,20,2025-10-16,1856.85,389.94,97.26,Pendiente
293,276,2026-01-06,924.55,194.16,42.59,Pagada
294,112,2025-03-24,1263.82,265.4,31.31,Cancelada
295,121,2025-09-19,629.07,132.1,34.07,Cancelada
296,173,2025-08-30,1470.51,308.81,46.8,Pendiente
297,20,2025-11-15,262.57,55.14,5.53,Pendiente
298,256,2025-03-23,1549.58,325.41,43.21,Pagada
299,64,2025-05-06,389.66,81.83,90.37,Pendiente
300,203,2025-11-08,369.66,77.63,12.66,Pendiente
301,139,2025-07-24,1826.4,383.54,32.63,Cancelada
302,105,2025-03-04,1620.95,340.4,8.32,Pendiente
303,51,2025-05-27,1826.49,383.56,65.45,Pendiente
304,68,2025-03-29,259.22,54.44,34.62,Cancelada
305,199,2025-05-02,281.82,59.18,62.33,Pagada
306,108,2025-09-09,1668.29,350.34,75.52,Cancelada
307,175,2025-11-07,1223.81,257.0,75.81,Cancelada
308,30,2025-05-17,410.22,86.15,58.01,Cancelada
309,245,2025-09-22,1384.97,290.84,41.75,Pendiente
310,247,2025-08-19,1873.79,393.5,51.12,Cancelada
311,75,2025-07-19,1686.98,354.27,52.56,Pendiente
312,74,2025-08-08,1878.3,394.44,55.03,Pendiente
313,93,2025-11-13,1940.48,407.5,0.19,Cancelada
314,127,2025-11-02,1316.15,276.39,24.78,Pagada
315,28,2025-11-14,1403.5,294.74,95.05,Pendiente
316,205,2025-05-10,1151.91,241.9,88.12,Cancelada
317,67,2025-08-28,304.87,64.02,3.07,Pendiente
318,264,2025-12-02,737.48,154.87,18.76,Pendiente
319,58,2026-02-02,271.3,56.97,63.54,Cancelada
320,262,2025-05-16,464.68,97.58,67.16,Pendiente
321,300,2025-05-15,923.16,193.86,26.04,Pagada
322,95,2025-09-12,1211.08,254.33,55.99,Cancelada
323,243,2025-11-17,1123.94,236.03,54.3,Pagada
324,184,2025-03-30,32.97,6.92,64.54,Pendiente
325,200,2025-07-13,57.6,12.1,97.28,Pendiente
326,40,2025-08-16,1219.31,256.06,45.72,Pagada
327,261,2025-09-29,370.65,77.84,20.95,Pagada
328,39,2025-09-14,111.47,23.41,10.77,Pagada
329,193,2025-09-22,1957.32,411.04,92.08,Pendiente
330,75,2025-07-20,548.01,115.08,14.32,Pendiente
331,132,2025-05-20,158.2,33.22,22.01,Pendiente
332,113,2025-10-19,858.01,180.18,16.33,Cancelada
333,129,2025-04-16,859.28,180.45,66.72,Pagada
